match_id,group,round,date,home_team,away_team,neutral_venue
1,A,group,2026-06-11,Mexico,South Africa,1
2,A,group,2026-06-11,South Korea,Czech Republic,1
3,B,group,2026-06-12,Canada,Bosnia and Herzegovina,1
4,D,group,2026-06-12,United States,Paraguay,1
5,B,group,2026-06-13,Qatar,Switzerland,1
6,C,group,2026-06-13,Brazil,Morocco,1
7,C,group,2026-06-13,Haiti,Scotland,1
8,D,group,2026-06-13,Australia,Turkey,1
9,E,group,2026-06-14,Germany,Curaçao,1
10,F,group,2026-06-14,Netherlands,Japan,1
11,E,group,2026-06-14,Ivory Coast,Ecuador,1
12,F,group,2026-06-14,Sweden,Tunisia,1
13,H,group,2026-06-15,Spain,Cape Verde,1
14,G,group,2026-06-15,Belgium,Egypt,1
15,H,group,2026-06-15,Saudi Arabia,Uruguay,1
16,G,group,2026-06-15,Iran,New Zealand,1
17,I,group,2026-06-16,France,Senegal,1
18,I,group,2026-06-16,Iraq,Norway,1
19,J,group,2026-06-16,Argentina,Algeria,1
20,J,group,2026-06-16,Austria,Jordan,1
21,K,group,2026-06-17,Portugal,DR Congo,1
22,L,group,2026-06-17,England,Croatia,1
23,L,group,2026-06-17,Ghana,Panama,1
24,K,group,2026-06-17,Uzbekistan,Colombia,1
25,A,group,2026-06-18,Czech Republic,South Africa,1
26,B,group,2026-06-18,Switzerland,Bosnia and Herzegovina,1
27,B,group,2026-06-18,Canada,Qatar,1
28,A,group,2026-06-18,Mexico,South Korea,1
29,D,group,2026-06-19,United States,Australia,1
30,C,group,2026-06-19,Scotland,Morocco,1
31,C,group,2026-06-19,Brazil,Haiti,1
32,D,group,2026-06-19,Turkey,Paraguay,1
33,F,group,2026-06-20,Netherlands,Sweden,1
34,E,group,2026-06-20,Germany,Ivory Coast,1
35,E,group,2026-06-20,Ecuador,Curaçao,1
36,F,group,2026-06-20,Tunisia,Japan,1
37,H,group,2026-06-21,Spain,Saudi Arabia,1
38,G,group,2026-06-21,Belgium,Iran,1
39,H,group,2026-06-21,Uruguay,Cape Verde,1
40,G,group,2026-06-21,New Zealand,Egypt,1
41,J,group,2026-06-22,Argentina,Austria,1
42,I,group,2026-06-22,France,Iraq,1
43,I,group,2026-06-22,Norway,Senegal,1
44,J,group,2026-06-22,Jordan,Algeria,1
45,K,group,2026-06-23,Portugal,Uzbekistan,1
46,L,group,2026-06-23,England,Ghana,1
47,L,group,2026-06-23,Panama,Croatia,1
48,K,group,2026-06-23,Colombia,DR Congo,1
49,B,group,2026-06-24,Switzerland,Canada,1
50,B,group,2026-06-24,Bosnia and Herzegovina,Qatar,1
51,C,group,2026-06-24,Scotland,Brazil,1
52,C,group,2026-06-24,Morocco,Haiti,1
53,A,group,2026-06-24,Czech Republic,Mexico,1
54,A,group,2026-06-24,South Africa,South Korea,1
55,E,group,2026-06-25,Curaçao,Ivory Coast,1
56,E,group,2026-06-25,Ecuador,Germany,1
57,F,group,2026-06-25,Japan,Sweden,1
58,F,group,2026-06-25,Tunisia,Netherlands,1
59,D,group,2026-06-25,Turkey,United States,1
60,D,group,2026-06-25,Paraguay,Australia,1
61,I,group,2026-06-26,Norway,France,1
62,I,group,2026-06-26,Senegal,Iraq,1
63,H,group,2026-06-26,Cape Verde,Saudi Arabia,1
64,H,group,2026-06-26,Uruguay,Spain,1
65,G,group,2026-06-26,Egypt,Iran,1
66,G,group,2026-06-26,New Zealand,Belgium,1
67,L,group,2026-06-27,Panama,England,1
68,L,group,2026-06-27,Croatia,Ghana,1
69,K,group,2026-06-27,Colombia,Portugal,1
70,K,group,2026-06-27,DR Congo,Uzbekistan,1
71,J,group,2026-06-27,Algeria,Austria,1
72,J,group,2026-06-27,Jordan,Argentina,1
