home_team,away_team,implied_home,implied_draw,implied_away,n_bookmakers,commence_time_utc,commence_time_ve
United States,Paraguay,0.2516,0.3628,0.3856,10,2026-06-13T01:02:00Z,12/06 21:02
Qatar,Switzerland,0.3122,0.3352,0.3526,42,2026-06-13T19:00:00Z,13/06 15:00
Brazil,Morocco,0.3396,0.3327,0.3277,42,2026-06-13T22:00:00Z,13/06 18:00
Haiti,Scotland,0.3268,0.3323,0.341,42,2026-06-14T01:00:00Z,13/06 21:00
Australia,Turkey,0.3283,0.3326,0.3391,42,2026-06-14T04:00:00Z,14/06 00:00
Germany,Curaçao,0.3876,0.333,0.2793,41,2026-06-14T17:00:00Z,14/06 13:00
Netherlands,Japan,0.337,0.3318,0.3312,41,2026-06-14T20:00:00Z,14/06 16:00
Ivory Coast,Ecuador,0.3312,0.3337,0.335,42,2026-06-14T23:00:00Z,14/06 19:00
Sweden,Tunisia,0.3377,0.3326,0.3297,42,2026-06-15T02:00:00Z,14/06 22:00
Spain,Cape Verde,0.3688,0.3352,0.296,41,2026-06-15T16:00:00Z,15/06 12:00
Belgium,Egypt,0.3402,0.3326,0.3271,41,2026-06-15T19:00:00Z,15/06 15:00
Saudi Arabia,Uruguay,0.3225,0.3337,0.3438,41,2026-06-15T22:00:00Z,15/06 18:00
Iran,New Zealand,0.3382,0.3328,0.3289,41,2026-06-16T01:00:00Z,15/06 21:00
France,Senegal,0.3427,0.3331,0.3242,41,2026-06-16T19:00:00Z,16/06 15:00
Iraq,Norway,0.3122,0.3344,0.3534,41,2026-06-16T22:00:00Z,16/06 18:00
Argentina,Algeria,0.3448,0.3342,0.321,41,2026-06-17T01:00:00Z,16/06 21:00
Austria,Jordan,0.3461,0.3326,0.3213,41,2026-06-17T04:00:00Z,17/06 00:00
Portugal,DR Congo,0.3481,0.3338,0.3181,39,2026-06-17T17:00:00Z,17/06 13:00
England,Croatia,0.339,0.3324,0.3287,41,2026-06-17T20:00:00Z,17/06 16:00
Ghana,Panama,0.3361,0.3321,0.3318,40,2026-06-17T23:00:00Z,17/06 19:00
Uzbekistan,Colombia,0.3212,0.334,0.3448,40,2026-06-18T02:00:00Z,17/06 22:00
Czech Republic,South Africa,0.3387,0.3321,0.3293,38,2026-06-18T16:00:00Z,18/06 12:00
Canada,Qatar,0.3475,0.3344,0.3181,37,2026-06-18T22:00:00Z,18/06 18:00
Mexico,South Korea,0.3369,0.3326,0.3305,38,2026-06-19T01:00:00Z,18/06 21:00
United States,Australia,0.1487,0.4283,0.423,34,2026-06-19T19:00:00Z,19/06 15:00
Scotland,Morocco,0.3301,0.3328,0.3371,38,2026-06-19T22:00:00Z,19/06 18:00
Brazil,Haiti,0.3724,0.3348,0.2928,35,2026-06-20T01:00:00Z,19/06 21:00
Turkey,Paraguay,0.3367,0.3327,0.3306,34,2026-06-20T03:00:00Z,19/06 23:00
Netherlands,Sweden,0.3397,0.3321,0.3282,36,2026-06-20T17:00:00Z,20/06 13:00
Germany,Ivory Coast,0.3408,0.3319,0.3274,37,2026-06-20T20:00:00Z,20/06 16:00
Ecuador,Curaçao,0.353,0.3343,0.3126,37,2026-06-21T00:00:00Z,20/06 20:00
Tunisia,Japan,0.3277,0.333,0.3393,37,2026-06-21T04:00:00Z,21/06 00:00
Spain,Saudi Arabia,0.3647,0.3364,0.2989,37,2026-06-21T16:00:00Z,21/06 12:00
Belgium,Iran,0.3438,0.3331,0.3231,37,2026-06-21T19:00:00Z,21/06 15:00
Uruguay,Cape Verde,0.3429,0.333,0.3241,37,2026-06-21T22:00:00Z,21/06 18:00
New Zealand,Egypt,0.3288,0.3325,0.3387,37,2026-06-22T01:00:00Z,21/06 21:00
Argentina,Austria,0.3399,0.3326,0.3275,37,2026-06-22T17:00:00Z,22/06 13:00
France,Iraq,0.3641,0.3382,0.2977,37,2026-06-22T21:00:00Z,22/06 17:00
Norway,Senegal,0.3361,0.3318,0.3321,37,2026-06-23T00:00:00Z,22/06 20:00
Jordan,Algeria,0.3259,0.3327,0.3414,37,2026-06-23T03:00:00Z,22/06 23:00
Portugal,Uzbekistan,0.349,0.3331,0.3179,37,2026-06-23T17:00:00Z,23/06 13:00
England,Ghana,0.3461,0.3333,0.3207,37,2026-06-23T20:00:00Z,23/06 16:00
Panama,Croatia,0.3255,0.3334,0.3411,37,2026-06-23T23:00:00Z,23/06 19:00
Colombia,DR Congo,0.3424,0.3337,0.3239,36,2026-06-24T02:00:00Z,23/06 22:00
Switzerland,Canada,0.3361,0.3323,0.3316,32,2026-06-24T19:00:00Z,24/06 15:00
Scotland,Brazil,0.3253,0.3324,0.3423,32,2026-06-24T22:00:00Z,24/06 18:00
Morocco,Haiti,0.3455,0.3335,0.3211,32,2026-06-24T22:00:00Z,24/06 18:00
Czech Republic,Mexico,0.3293,0.3326,0.338,32,2026-06-25T01:00:00Z,24/06 21:00
South Africa,South Korea,0.3273,0.3326,0.3401,32,2026-06-25T01:00:00Z,24/06 21:00
Curaçao,Ivory Coast,0.3142,0.3349,0.3509,30,2026-06-25T20:00:00Z,25/06 16:00
Ecuador,Germany,0.3291,0.3322,0.3387,29,2026-06-25T20:00:00Z,25/06 16:00
Japan,Sweden,0.3363,0.3321,0.3316,29,2026-06-25T23:00:00Z,25/06 19:00
Tunisia,Netherlands,0.3259,0.3326,0.3415,29,2026-06-25T23:00:00Z,25/06 19:00
Paraguay,Australia,0.3359,0.3325,0.3316,29,2026-06-26T02:00:00Z,25/06 22:00
Turkey,United States,0.4284,0.4251,0.1465,29,2026-06-26T02:00:00Z,25/06 22:00
Norway,France,0.33,0.3322,0.3379,29,2026-06-26T19:00:00Z,26/06 15:00
Senegal,Iraq,0.3433,0.3334,0.3232,29,2026-06-26T19:00:00Z,26/06 15:00
Cape Verde,Saudi Arabia,0.3352,0.3316,0.3332,29,2026-06-27T00:00:00Z,26/06 20:00
Uruguay,Spain,0.328,0.3324,0.3396,29,2026-06-27T00:00:00Z,26/06 20:00
New Zealand,Belgium,0.3202,0.333,0.3468,29,2026-06-27T03:00:00Z,26/06 23:00
Egypt,Iran,0.3356,0.333,0.3314,29,2026-06-27T03:00:00Z,26/06 23:00
Croatia,Ghana,0.3396,0.3328,0.3276,29,2026-06-27T21:00:00Z,27/06 17:00
Panama,England,0.3204,0.3325,0.3471,29,2026-06-27T21:00:00Z,27/06 17:00
Colombia,Portugal,0.3317,0.3323,0.3361,29,2026-06-27T23:30:00Z,27/06 19:30
DR Congo,Uzbekistan,0.3352,0.3322,0.3326,29,2026-06-27T23:30:00Z,27/06 19:30
Algeria,Austria,0.3315,0.3326,0.3359,29,2026-06-28T02:00:00Z,27/06 22:00
Jordan,Argentina,0.3131,0.3344,0.3526,29,2026-06-28T02:00:00Z,27/06 22:00
